Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Elevation_ft,Continent,Country_name,Iso_country,Region_name,Iso_region,Local_region,Municipality,Scheduled_service,Gps_code,Iata_code,Local_code,Home_link,Wikipedia_link,Keywords,Score,Last_updated
46529,AT-0002,seaplane_base,"Scalaria Airchallenge Water Landing Area",47.734705433100004,13.4438323975,,EU,Austria,AT,"Upper Austria",AT-4,4,"Lake Wolfgang",0,,,,http://www.airchallenge.scalaria.com/,,,0,2010-12-28T15:01:06+00:00
35303,BS-NSB,seaplane_base,"Bimini North Seaplane Base",25.767000198364258,-79.25,,NA,Bahamas,BS,Bimini,BS-BI,BI,Bimini,1,,NSB,,,,,625,2008-07-14T08:45:08+00:00
28204,CBG9,seaplane_base,"Courtenay Airpark Seaplane Base",49.6814002991,-124.981002808,,NA,Canada,CA,"British Columbia",CA-BC,BC,,0,CBG9,,CBG9,,,,25,2009-11-13T16:35:00+00:00
28215,CEE7,seaplane_base,"Edmonton/Cooking Lake Seaplane Base",53.4255939787,-113.105792999,2419,NA,Canada,CA,Alberta,CA-AB,AB,,0,CEE7,,CEE7,,,EE7,25,2012-08-17T08:04:43+00:00
28386,CZSW,seaplane_base,"Prince Rupert/Seal Cove Seaplane Base",54.33330154418945,-130.2830047607422,,NA,Canada,CA,"British Columbia",CA-BC,BC,,0,CZSW,ZSW,,,,,25,2008-07-14T08:45:08+00:00
28458,CAP5,seaplane_base,"Victoria Airport",48.6538920506,-123.450450897,,NA,Canada,CA,"British Columbia",CA-BC,BC,,0,CAP5,,CAP5,,,,25,2010-09-23T09:56:24+00:00
16492,B18,seaplane_base,"Alton Bay Seaplane Base",43.47760009765625,-71.23699951171875,504,NA,"United States",US,"New Hampshire",US-NH,NH,"Alton Bay",0,B18,,B18,,,,25,2008-06-13T14:30:04+00:00
28231,CEZ7,seaplane_base,"Fort Simpson Island Seaplane Base",61.8694048342,-121.36133194,375,NA,Canada,CA,"Northwest Territories",CA-NT,NT,"Fort Simpson Island",0,CEZ7,,CEZ7,,https://en.wikipedia.org/wiki/Fort_Simpson_Island_Water_Aerodrome,EZ7,25,2015-11-05T10:00:09+00:00
12287,5BL,seaplane_base,"Homer-Beluga Lake Seaplane Base",59.64469909667969,-151.5019989013672,25,NA,"United States",US,Alaska,US-AK,AK,Homer,0,5BL,,5BL,,,,25,2008-06-13T14:30:04+00:00
26128,X44,seaplane_base,"Miami Seaplane Base",25.778299331665,-80.170303344727,0,NA,"United States",US,Florida,US-FL,FL,Miami,0,X44,MPB,X44,,https://en.wikipedia.org/wiki/Miami_Seaplane_Base,,25,2015-11-13T11:46:14+00:00
28374,CAA9,seaplane_base,"Port Alberni/Sproat Lake Seaplane Base",49.2891524507,-124.937746525,95,NA,Canada,CA,"British Columbia",CA-BC,BC,"Sproat Lake",0,CAA9,,CAA9,,https://en.wikipedia.org/wiki/Port_Alberni/Sproat_Lake_Water_Aerodrome,AA9,25,2015-03-28T02:45:10+00:00
28181,CJZ6,seaplane_base,"Black Lake Seaplane Base",59.150001525878906,-105.55000305175781,909,NA,Canada,CA,Saskatchewan,CA-SK,SK,,0,CJZ6,,CJZ6,,,,25,2008-06-13T14:30:04+00:00
28259,CEK7,seaplane_base,"High Level/Footner Lake Seaplane Base",58.616694,-117.182999,1084,NA,Canada,CA,Alberta,CA-AB,AB,,0,CEK7,,CEK7,,https://en.wikipedia.org/wiki/High_Level/Footner_Lake_Water_Aerodrome,EK7,25,2016-10-16T07:09:00+00:00
28312,CBN4,seaplane_base,"Masset Seaplane Base",54.016700744628906,-132.14999389648438,,NA,Canada,CA,"British Columbia",CA-BC,BC,,0,CBN4,,CBN4,,,,25,2008-07-14T08:45:08+00:00
28358,CPS1,seaplane_base,"Parry Sound Harbour Seaplane Base",45.33919906616211,-80.03469848632812,580,NA,Canada,CA,Ontario,CA-ON,ON,,0,CPS1,,CPS1,,,,25,2008-06-13T14:30:04+00:00
